N,time
921,1.665341
921,1.761175
921,1.609667
921,1.612976
921,1.628441
921,1.696954
921,1.648038
921,1.751909
921,1.626753
921,1.603970
921,1.612058
921,1.698627
941,1.848588
941,1.839577
941,1.812434
941,1.838428
941,1.860397
941,1.813951
941,1.850060
941,1.821090
941,1.868121
941,1.817509
941,1.893346
941,1.848050
941,1.830030
941,1.903892
941,1.903249
961,1.912078
961,1.904515
961,1.831198
961,1.823240
961,1.837065
961,1.889587
961,1.932864
961,1.901226
961,1.852444
961,1.894164
961,1.843235
961,1.844927
961,1.970213
961,1.834795
961,1.877544
981,1.954454
981,2.016625
981,1.993338
981,2.082298
981,2.385273
981,2.059622
981,2.037263
981,1.987531
981,2.089488
981,1.998974
981,2.040390
981,2.078021
981,2.038960
981,1.980893
981,1.942575
1001,2.171126
1001,2.274448
1001,2.241627
1001,2.252812
1001,2.280742
1001,2.264629
1001,2.201290
1001,2.210969
1001,2.215460
1001,2.278217
1001,2.330549
1001,2.254070
1001,2.283538
1001,2.163860
1001,2.220350
1021,2.397831
1021,2.424108
1021,2.368830
1021,2.302624
1021,2.285312
1021,2.317457
1021,2.459017
1021,2.284016
1021,2.281532
1021,2.348623
1021,2.399482
1021,2.356259
1021,2.368914
1021,2.461420
1021,2.294288
1041,2.563643
1041,2.628712
1041,2.717428
1041,2.666494
1041,2.759350
1041,2.583512
1041,2.675974
1041,2.606362
1041,2.639716
1041,2.608126
1041,2.630488
1041,2.724499
1041,2.631883
1041,2.551285
1041,2.556640
1061,2.682743
1061,2.707507
1061,2.772145
1061,2.757105
1061,2.795648
1061,2.820561
1061,2.706124
1061,2.859774
1061,2.724281
1061,2.695308
1061,2.622295
1061,2.629013
1061,2.689375
1061,2.709062
1061,2.635947
1081,2.791060
1081,2.895192
1081,2.882580
1081,2.845803
1081,2.834731
1081,2.827392
1081,2.841878
1081,2.917330
1081,2.940229
1081,2.920132
1081,2.976896
1081,2.912098
1081,2.827094
1081,2.814439
1081,2.954501
1101,4.015325
1101,4.068609
1101,4.100808
1101,4.072160
1101,3.935542
1101,3.952084
1101,3.893303
1101,3.967933
1101,3.912905
1101,3.935254
1101,3.938574
1101,4.020018
1101,4.053102
1101,4.009828
1101,3.906354
1121,3.321575
1121,3.371052
1121,3.338025
1121,3.245359
1121,3.420169
1121,3.437142
1121,3.419611
1121,3.469092
1121,3.768404
1121,3.396682
1121,3.254506
1121,3.346829
1121,3.352376
1121,3.373808
1121,3.271079
1141,3.591713
1141,3.404822
1141,3.543811
1141,3.490606
1141,3.389163
1141,3.491237
1141,3.515651
1141,3.483178
1141,3.481792
1141,3.546970
1141,3.503532
1141,3.629555
1141,3.436287
1141,3.567364
1141,3.390370
1161,3.767645
1161,3.884734
1161,3.640081
1161,3.687337
1161,3.664430
1161,3.643882
1161,3.882280
1161,3.642690
1161,3.635985
1161,3.654324
1161,3.714401
1161,3.759683
1161,3.715683
1161,3.624371
1161,3.702456
1181,4.852810
1181,4.902958
1181,4.932539
1181,5.009657
1181,4.977833
1181,4.908156
1181,4.939257
1181,4.908840
1181,4.939380
1181,4.927781
1181,4.908637
1181,5.001877
1181,4.983741
1181,4.940153
1181,4.930632
1201,4.260161
1201,4.334011
1201,4.337601
1201,4.351698
1201,4.322926
1201,4.317789
1201,4.327779
1201,4.276172
1201,4.425504
1201,4.236497
1201,4.306216
1201,4.288388
1201,4.286409
1201,4.292456
1201,4.378199
1221,4.355895
1221,4.284895
1221,4.357623
1221,4.405891
1221,4.414157
1221,4.359891
1221,4.384473
1221,4.620676
1221,4.480371
1221,4.408251
1221,4.484453
1221,4.432904
1221,4.416367
1221,4.351608
1221,4.333702
1241,4.483036
1241,4.535891
1241,4.381101
1241,4.510385
1241,4.531701
1241,4.514209
1241,4.518462
1241,4.463186
1241,4.557082
1241,4.526403
1241,4.443651
1241,4.472980
1241,4.473164
1241,4.418691
1241,4.477344
1261,4.769978
1261,4.821145
1261,4.722118
1261,4.751444
1261,4.772614
1261,4.792790
1261,4.744932
1261,4.719234
1261,4.720456
1261,4.822080
1261,4.766913
1261,4.796349
1261,4.770960
1261,4.759151
1261,4.726128
1281,4.915791
1281,4.997880
1281,5.008874
1281,5.009306
1281,4.982782
1281,5.075053
1281,4.970856
1281,5.075323
1281,4.991065
1281,5.030791
1281,5.056925
1281,4.915469
1281,4.915401
1281,4.964110
1281,4.957753
1301,5.568590
1301,5.631922
1301,5.541026
1301,5.551550
1301,5.707230
1301,5.640085
1301,5.564053
1301,5.698448
1301,5.627499
1301,5.973068
1301,5.609500
1301,5.689427
1301,5.575766
1301,5.613343
1301,5.548466
1321,5.927435
1321,6.077252
1321,6.064454
1321,6.007163
1321,6.044838
1321,5.926422
1321,6.023057
1321,5.960935
1321,6.048824
1321,5.974672
1321,6.005508
1321,5.882605
1321,6.032171
1321,5.985281
1321,5.929110
1341,5.773196
1341,5.888285
1341,5.829115
1341,5.701908
1341,5.867794
1341,5.767855
1341,5.875597
1341,5.828778
1341,5.703761
1341,5.903150
1341,5.858466
1341,5.889462
1341,5.874082
1341,5.754670
1341,5.792281
1361,7.708793
1361,7.625235
1361,7.544043
1361,7.607760
1361,7.607310
1361,7.772545
1361,7.708116
1361,7.777339
1361,7.475899
1361,7.833496
1361,7.557785
1361,7.530178
1361,8.014282
1361,7.735587
1361,7.713083
1381,6.758880
1381,6.537186
1381,6.724573
1381,6.493754
1381,6.707777
1381,6.678200
1381,6.583733
1381,6.587701
1381,6.491706
1381,6.891290
1381,6.719364
1381,6.675939
1381,6.509148
1381,6.721559
1381,6.815678
1401,7.056533
1401,6.970433
1401,6.910093
1401,7.200667
1401,7.016089
1401,6.733502
1401,7.228128
1401,7.078717
1401,6.823720
1401,7.110449
1401,6.909034
1401,7.154911
1401,6.952933
1401,6.830561
1401,6.922521
1421,7.505882
1421,7.445328
1421,7.436838
1421,7.485873
1421,7.651855
1421,7.804333
1421,7.486901
1421,7.770279
1421,7.478938
1421,7.733481
1421,7.868239
1421,7.691358
1421,7.549906
1421,7.506615
1421,7.476858
1441,8.089159
1441,8.117962
1441,8.065187
1441,7.958982
1441,7.962262
1441,8.260716
1441,7.944743
1441,7.877172
1441,7.881821
1441,8.121877
1441,8.170560
1441,8.058112
1441,8.037862
1441,7.979048
1441,8.160545
1461,8.462878
1461,8.484412
1461,8.470693
1461,8.560280
1461,8.410559
1461,8.457481
1461,8.385684
1461,8.559199
1461,8.411837
1461,8.483997
1461,8.404654
1461,8.404933
1461,8.466437
1461,8.410517
1461,8.568538
1481,10.395653
1481,10.529962
1481,10.271976
1481,10.287108
1481,10.379705
1481,10.404619
1481,10.305127
1481,10.210731
1481,10.332726
1481,10.328264
1481,10.354547
1481,10.431328
1481,10.388744
1481,10.323689
1481,10.368292
1501,10.427376
1501,10.330642
1501,10.455062
1501,10.297800
1501,10.387399
1501,10.490213
1501,10.512539
1501,10.369814
1501,10.336257
1501,10.361394
1501,10.370896
1501,10.407436
1501,10.431366
1501,10.426632
1501,10.342066
1521,10.651451
1521,10.315274
1521,10.385461
1521,10.286006
1521,10.357392
1521,10.431258
1521,10.251792
1521,10.484245
1521,10.419346
1521,10.406876
1521,10.446358
1521,10.543602
1521,10.272044
1521,10.655256
1521,10.270014
1541,10.606427
1541,10.642605
1541,10.517600
1541,10.555157
1541,11.151611
1541,10.494363
1541,10.617953
1541,10.573789
1541,10.729604
1541,10.770066
1541,10.647254
1541,10.582878
1541,10.539680
1541,10.515004
1541,10.541664
1561,12.897570
1561,12.787921
1561,12.660609
1561,12.714697
1561,12.859711
1561,12.736878
1561,12.851741
1561,12.617858
1561,12.844336
1561,12.631533
1561,12.783391
1561,12.895294
1561,12.667382
1561,12.748366
1561,12.736382
1581,14.658422
1581,14.592435
1581,14.421419
1581,14.440828
1581,14.505766
1581,14.669477
1581,14.556887
1581,15.098606
1581,14.651884
1581,14.710831
1581,14.688968
1581,14.597175
1581,14.475416
1581,14.512675
1581,14.702049
1601,14.690926
1601,14.647318
1601,14.702431
1601,14.506623
1601,14.724019
1601,14.580558
1601,14.668775
1601,14.511628
1601,14.511043
1601,14.593868
1601,14.544380
1601,14.525064
1601,14.627183
1601,14.849207
1601,14.552450
1621,15.152033
1621,15.226783
1621,15.147537
1621,15.357015
1621,15.173072
1621,15.219246
1621,15.303774
1621,15.186075
1621,15.153112
1621,15.252471
1621,15.302963
1621,15.419974
1621,15.314515
1621,15.296894
1621,15.218439
1641,17.392851
1641,17.439397
1641,17.673490
1641,17.308395
1641,17.371765
1641,17.462012
1641,17.424247
1641,17.458225
1641,17.477689
1641,17.644599
1641,17.634836
1641,17.547294
