N,time
16,0.000074
16,0.000070
16,0.000071
16,0.000068
16,0.000068
16,0.000071
16,0.000070
16,0.000075
16,0.000070
16,0.000077
16,0.000071
16,0.000072
16,0.000074
16,0.000074
16,0.000077
16,0.000072
16,0.000077
16,0.000035
16,0.000035
16,0.000091
16,0.000073
16,0.000072
16,0.000070
16,0.000072
16,0.000071
16,0.000069
16,0.000068
16,0.000067
16,0.000068
16,0.000071
16,0.000068
16,0.000073
16,0.000070
16,0.000069
16,0.000069
16,0.000068
16,0.000068
16,0.000072
16,0.000071
16,0.000071
16,0.000067
16,0.000035
16,0.000070
16,0.000033
16,0.000035
16,0.000034
16,0.000035
16,0.000035
16,0.000035
16,0.000035
16,0.000036
16,0.000035
16,0.000035
16,0.000035
16,0.000050
16,0.000038
16,0.000037
16,0.000037
16,0.000037
16,0.000111
16,0.000081
16,0.000076
16,0.000073
16,0.000075
16,0.000072
16,0.000076
16,0.000074
16,0.000082
16,0.000090
16,0.000075
16,0.000075
16,0.000071
16,0.000132
16,0.000075
16,0.000071
16,0.000072
16,0.000074
16,0.000073
16,0.000069
16,0.000090
16,0.000067
16,0.000066
16,0.000072
16,0.000065
16,0.000068
16,0.000069
16,0.000069
16,0.000069
16,0.000069
16,0.000065
16,0.000066
16,0.000364
16,0.000080
16,0.000073
16,0.000072
16,0.000071
16,0.000074
16,0.000072
32,0.000300
32,0.000297
32,0.000548
32,0.000282
32,0.000297
32,0.000465
32,0.000344
32,0.000328
32,0.000332
32,0.000315
32,0.000319
32,0.000333
32,0.000285
32,0.000286
32,0.000291
32,0.000299
32,0.000397
32,0.000336
32,0.000323
32,0.000804
32,0.000298
32,0.000288
32,0.000623
32,0.000292
32,0.000269
32,0.000268
32,0.000288
32,0.000322
32,0.000332
32,0.000739
32,0.000423
32,0.000353
32,0.000327
32,0.000335
32,0.000336
32,0.000325
32,0.000332
32,0.000327
32,0.000328
32,0.000324
32,0.000334
32,0.000331
32,0.000279
32,0.000421
32,0.000354
32,0.000339
32,0.000332
32,0.000329
32,0.000325
32,0.000329
32,0.000304
32,0.000301
32,0.000351
32,0.000303
32,0.000386
32,0.000375
32,0.000341
32,0.000360
32,0.000351
32,0.000350
32,0.000346
32,0.000345
32,0.000343
32,0.000295
32,0.000301
32,0.000285
32,0.000415
32,0.000280
32,0.000290
32,0.000288
32,0.000430
32,0.000334
32,0.000325
32,0.000299
32,0.000303
32,0.000420
32,0.000356
32,0.000276
32,0.000330
32,0.000319
32,0.000311
32,0.000364
32,0.000321
32,0.000280
32,0.000291
32,0.000292
32,0.000275
32,0.000261
32,0.000266
32,0.000264
32,0.000279
32,0.000280
32,0.000280
32,0.000268
32,0.000267
32,0.000282
32,0.000272
32,0.000273
32,0.000296
32,0.000299
64,0.005549
64,0.002322
64,0.002398
64,0.006451
64,0.002435
64,0.004158
64,0.002623
64,0.006881
64,0.002373
64,0.002330
64,0.002401
64,0.002428
64,0.002349
64,0.002437
64,0.002335
64,0.002327
64,0.002296
64,0.002341
64,0.002356
64,0.002489
64,0.002341
64,0.002448
64,0.002475
64,0.002522
64,0.002322
64,0.002335
64,0.002361
64,0.002418
64,0.002434
64,0.002440
64,0.002467
64,0.002570
64,0.002527
64,0.002447
64,0.002466
64,0.002481
64,0.002454
64,0.002534
64,0.002433
64,0.002632
64,0.002497
64,0.002449
64,0.002437
64,0.002394
64,0.002463
64,0.002568
64,0.002429
64,0.002512
64,0.002365
64,0.002470
64,0.002522
64,0.002472
64,0.002507
64,0.002561
64,0.002577
64,0.002398
64,0.001388
64,0.001355
64,0.001368
64,0.001360
64,0.001366
64,0.001431
64,0.001449
64,0.001555
64,0.001451
64,0.001365
64,0.001490
64,0.001362
64,0.001371
64,0.001468
64,0.001367
64,0.001540
64,0.001442
64,0.001407
64,0.001425
64,0.001488
64,0.001381
64,0.001368
64,0.001363
64,0.001525
64,0.001399
64,0.001360
64,0.001366
64,0.001372
64,0.001361
64,0.001358
64,0.001367
64,0.001617
64,0.001379
64,0.001387
64,0.001356
64,0.001407
64,0.001374
64,0.001362
64,0.001417
64,0.001496
64,0.001511
64,0.001455
64,0.001365
64,0.001483
128,0.011886
128,0.011810
128,0.011810
128,0.011870
